SMILES,canonical_smiles,Activity Comment,Protein Target Name
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)C(C)CC)[C@]2(CO)[C@H](OC(C)=O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,CCC(C(=O)O[C@H]1[C@H](OC(=O)/C(=C\C)/C)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](OC(=O)C)C[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)CO)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)C(C)CC)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,CCC(C(=O)O[C@H]1[C@H](OC(=O)/C(=C\C)/C)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](O)C[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)CO)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)CC(C)C)[C@]2(CO)[C@H](O)C[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C/C=C(\C(=O)O[C@H]1[C@H](OC(=O)CC(C)C)[C@]2(CO)[C@H](O)C[C@@]3(C(=CC[C@H]4[C@@]3(C)CC[C@@H]3[C@]4(C)CC[C@@H]([C@@]3(C)CO)O[C@@H]3O[C@H](C(=O)O)[C@H]([C@@H]([C@H]3O)O[C@@H]3OC[C@@H]([C@@H]([C@H]3O)O[C@@H]3O[C@@H](C)[C@@H]([C@H]([C@H]3O)O)O)O)O)[C@@H]2CC1(C)C)C)/C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)CC(C)C)[C@]2(CO)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C/C=C(\C(=O)O[C@H]1[C@H](OC(=O)CC(C)C)[C@]2(CO)[C@H](OC(=O)C)[C@H](OC(=O)C)[C@@]3(C(=CC[C@H]4[C@@]3(C)CC[C@@H]3[C@]4(C)CC[C@@H]([C@@]3(C)CO)O[C@@H]3O[C@H](C(=O)O)[C@H]([C@@H]([C@H]3O)O[C@@H]3OC[C@@H]([C@@H]([C@H]3O)O[C@@H]3O[C@@H](C)[C@@H]([C@H]([C@H]3O)O)O)O)O)[C@@H]2CC1(C)C)C)/C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C\C)[C@]2(CO)[C@H](O)[C@H](OC(=O)CC(C)C)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C/C=C(\C(=O)O[C@H]1[C@H](OC(=O)/C(=C\C)/C)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](O)[C@H](OC(=O)CC(C)C)[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)CO)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)/C,1,NRF2
CCC(C)C(=O)O[C@H]1[C@H](O)C(C)(C)C[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)[C@@H](OC(=O)CC(C)C)[C@@H](O)[C@]21CO,CCC(C(=O)O[C@H]1[C@H](O)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](O)[C@H](OC(=O)CC(C)C)[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)CO)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)C(C)CC)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(C=O)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,CCC(C(=O)O[C@H]1[C@H](OC(=O)/C(=C\C)/C)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](O)[C@H](O)[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)C=O)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)CC(C)C)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(C=O)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C/C=C(\C(=O)O[C@H]1[C@H](OC(=O)CC(C)C)[C@]2(CO)[C@H](O)[C@H](O)[C@@]3(C(=CC[C@H]4[C@@]3(C)CC[C@@H]3[C@]4(C)CC[C@@H]([C@@]3(C)C=O)O[C@@H]3O[C@H](C(=O)O)[C@H]([C@@H]([C@H]3O)O[C@@H]3OC[C@@H]([C@@H]([C@H]3O)O[C@@H]3O[C@@H](C)[C@@H]([C@H]([C@H]3O)O)O)O)O)[C@@H]2CC1(C)C)C)/C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)C(C)CC)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,CCC(C(=O)O[C@H]1[C@H](OC(=O)/C(=C\C)/C)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](O)[C@H](O)[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)CO)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)C,1,NRF2
C/C=C(/C)C(=O)O[C@H]1[C@H](OC(=O)/C(C)=C/C)[C@]2(CO)[C@H](O)[C@H](O)[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O[C@@H]6O[C@H](C(=O)O)[C@@H](O)[C@H](O[C@@H]7OC[C@H](O)[C@H](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2CC1(C)C,C/C=C(/C(=O)O[C@H]1[C@H](OC(=O)/C(=C\C)/C)C(C)(C)C[C@@H]2[C@@]1(CO)[C@H](O)[C@H](O)[C@@]1(C2=CC[C@H]2[C@@]1(C)CC[C@@H]1[C@]2(C)CC[C@@H]([C@@]1(C)CO)O[C@@H]1O[C@H](C(=O)O)[C@H]([C@@H]([C@H]1O)O[C@@H]1OC[C@@H]([C@@H]([C@H]1O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)O)O)C)\C,1,NRF2
